Teneur en P2O5 (%),Teneur en CaO (%),Teneur en SiO2 (%),Humidité (%),Granulométrie (mm),Site d'extraction,Qualité du Phosphate
20.07,36.85,0.6,10.18,1.03,Sidi Chennane,Moyenne
25.24,39.13,0.6,13.59,1.02,Sidi Chennane,Moyenne
34.69,31.63,0.5,1.51,2.22,Sidi Dawui,Moyenne
30.39,42.03,0.6,4.9,1.14,Sidi Chennane,Moyenne
39.69,46.14,0.5,14.59,1.73,Sidi Dawui,Haute
28.61,36.64,0.6,3.38,1.43,Sidi Chennane,Moyenne
35.47,27.39,0.5,0.89,1.26,Sidi Dawui,Haute
13.75,20.0,0.6,0.83,2.09,Sidi Chennane,Faible
30.72,22.55,0.5,4.13,1.9,Sidi Dawui,Moyenne
42.15,33.73,0.54,7.42,0.41,Sidi Dawui,Haute
22.18,26.21,0.6,4.03,4.29,Sidi Chennane,Moyenne
37.08,44.98,1.39,4.21,1.1,Sidi Dawui,Haute
29.6,29.39,0.5,12.47,0.47,Sidi Dawui,Moyenne
23.13,21.84,2.54,11.5,0.95,Sidi Dawui,Moyenne
21.72,24.41,3.32,4.66,1.23,Sidi Chennane,Moyenne
24.45,34.53,0.6,5.17,1.6,Sidi Chennane,Moyenne
18.37,20.0,5.22,14.55,2.16,Sidi Chennane,Faible
21.02,28.63,6.25,14.25,1.85,Sidi Chennane,Moyenne
23.95,31.56,0.5,14.6,4.35,Sidi Dawui,Moyenne
29.55,47.04,0.6,14.09,1.09,Sidi Chennane,Moyenne
29.82,28.86,0.5,9.42,0.88,Sidi Dawui,Moyenne
31.65,50.63,0.6,4.62,0.31,Sidi Chennane,Moyenne
32.13,42.69,7.36,14.54,2.17,Sidi Chennane,Moyenne
21.99,27.85,0.6,11.14,1.63,Sidi Chennane,Moyenne
23.32,29.44,0.5,10.67,0.64,Sidi Dawui,Moyenne
10.0,20.0,8.48,11.96,1.21,Sidi Chennane,Faible
13.23,20.0,9.17,8.98,0.99,Sidi Chennane,Faible
13.84,20.94,0.6,8.75,1.15,Sidi Chennane,Faible
31.18,38.56,0.6,5.42,0.8,Sidi Chennane,Moyenne
33.55,36.91,0.5,2.26,1.09,Sidi Dawui,Moyenne
24.95,34.35,0.6,6.58,0.3,Sidi Chennane,Moyenne
13.0,20.0,2.83,7.76,0.72,Sidi Dawui,Faible
14.95,23.55,0.6,13.17,1.28,Sidi Chennane,Faible
40.57,39.06,0.5,6.02,0.57,Sidi Dawui,Haute
24.31,44.35,0.6,13.25,1.37,Sidi Chennane,Moyenne
21.57,27.97,0.6,4.76,5.22,Sidi Chennane,Moyenne
26.06,45.45,0.6,14.17,0.4,Sidi Chennane,Moyenne
47.39,55.95,0.5,0.58,0.23,Sidi Dawui,Haute
30.49,38.79,0.5,7.88,2.62,Sidi Dawui,Moyenne
33.13,34.02,2.53,4.82,5.34,Sidi Dawui,Moyenne
34.25,30.1,0.5,4.42,1.35,Sidi Dawui,Moyenne
50.0,60.0,0.5,1.19,1.01,Sidi Dawui,Haute
13.4,20.0,2.66,10.22,0.6,Sidi Dawui,Faible
26.8,33.87,0.6,5.89,1.54,Sidi Chennane,Moyenne
21.78,30.54,0.6,14.24,0.99,Sidi Chennane,Moyenne
26.07,31.97,1.84,10.69,1.97,Sidi Chennane,Moyenne
18.36,28.66,0.6,6.64,0.25,Sidi Chennane,Faible
22.19,29.07,0.6,9.41,1.3,Sidi Chennane,Moyenne
26.98,37.25,0.6,0.99,0.51,Sidi Chennane,Moyenne
50.0,60.0,0.5,8.84,2.13,Sidi Dawui,Haute
39.85,43.68,0.5,9.99,0.4,Sidi Dawui,Haute
17.16,24.84,0.6,1.59,1.65,Sidi Chennane,Faible
28.64,29.4,3.67,10.24,0.63,Sidi Dawui,Moyenne
28.37,28.43,0.5,7.11,0.71,Sidi Dawui,Moyenne
16.16,20.0,6.45,7.19,1.97,Sidi Dawui,Faible
20.42,29.48,0.6,10.85,0.53,Sidi Chennane,Moyenne
39.17,42.13,1.11,6.75,0.3,Sidi Dawui,Haute
20.9,20.5,0.5,3.52,1.06,Sidi Dawui,Moyenne
29.11,44.76,0.6,4.47,0.59,Sidi Chennane,Moyenne
36.94,32.18,0.5,11.08,0.33,Sidi Dawui,Haute
17.87,23.42,13.26,1.06,1.32,Sidi Chennane,Faible
21.61,27.69,0.6,12.61,1.26,Sidi Chennane,Moyenne
32.57,42.95,0.63,8.73,1.1,Sidi Chennane,Moyenne
27.12,46.93,0.6,10.9,1.5,Sidi Chennane,Moyenne
22.56,36.22,0.6,5.16,0.2,Sidi Chennane,Moyenne
30.34,25.31,1.11,3.34,0.54,Sidi Dawui,Moyenne
33.2,35.43,8.55,12.07,1.25,Sidi Dawui,Moyenne
27.84,26.17,0.5,1.53,2.29,Sidi Dawui,Moyenne
13.35,20.0,0.86,2.49,1.21,Sidi Dawui,Faible
35.37,39.41,0.6,4.27,2.55,Sidi Chennane,Haute
33.91,38.98,0.5,5.27,0.58,Sidi Dawui,Moyenne
36.12,28.54,0.5,3.05,0.61,Sidi Dawui,Haute
31.97,31.72,0.5,13.69,0.74,Sidi Dawui,Moyenne
25.81,22.05,0.5,0.41,0.94,Sidi Dawui,Moyenne
30.81,34.49,1.49,12.05,0.24,Sidi Dawui,Moyenne
17.95,20.0,2.63,6.17,0.98,Sidi Dawui,Faible
36.85,52.12,0.6,12.54,0.97,Sidi Chennane,Haute
21.27,20.94,6.96,11.94,0.61,Sidi Dawui,Moyenne
23.11,24.18,0.5,1.82,0.54,Sidi Dawui,Moyenne
28.49,28.55,0.5,10.0,1.24,Sidi Dawui,Moyenne
44.22,43.93,0.5,5.68,1.6,Sidi Dawui,Haute
32.63,30.03,1.24,12.32,1.12,Sidi Dawui,Moyenne
14.71,20.0,0.6,12.77,1.12,Sidi Chennane,Faible
43.91,36.36,0.5,2.84,0.97,Sidi Dawui,Haute
27.11,43.48,3.15,7.18,1.01,Sidi Chennane,Moyenne
37.4,35.64,0.5,8.92,1.72,Sidi Dawui,Haute
39.01,35.03,0.5,8.16,3.66,Sidi Dawui,Haute
37.58,42.55,0.6,3.78,3.3,Sidi Chennane,Haute
36.27,38.53,0.6,4.09,0.42,Sidi Chennane,Haute
18.17,23.41,4.02,12.87,0.18,Sidi Chennane,Faible
47.28,53.74,0.5,0.49,1.53,Sidi Dawui,Haute
35.99,32.9,0.5,3.94,1.02,Sidi Dawui,Haute
37.04,39.32,0.5,3.35,0.95,Sidi Dawui,Haute
17.1,20.0,0.5,5.56,1.36,Sidi Dawui,Faible
30.95,33.99,1.75,10.29,0.82,Sidi Dawui,Moyenne
25.1,23.74,1.88,7.98,0.27,Sidi Dawui,Moyenne
40.04,32.45,0.5,8.11,0.4,Sidi Dawui,Haute
42.25,40.5,0.5,10.97,0.42,Sidi Dawui,Haute
13.62,20.0,4.61,12.18,1.7,Sidi Dawui,Faible
22.36,41.19,0.6,2.4,4.52,Sidi Chennane,Moyenne
42.71,45.91,0.5,1.62,0.69,Sidi Dawui,Haute
21.32,30.15,9.37,4.52,8.01,Sidi Chennane,Moyenne
27.09,40.96,0.6,12.41,0.22,Sidi Chennane,Moyenne
35.7,37.44,1.15,8.13,0.67,Sidi Dawui,Haute
24.65,35.39,0.6,2.14,1.16,Sidi Chennane,Moyenne
30.03,32.07,0.5,2.46,0.13,Sidi Dawui,Moyenne
21.43,22.12,0.5,13.47,3.38,Sidi Dawui,Moyenne
22.29,21.21,4.11,5.5,0.57,Sidi Dawui,Moyenne
38.96,31.79,0.5,3.83,1.03,Sidi Dawui,Haute
32.68,30.36,0.5,10.41,1.43,Sidi Dawui,Moyenne
21.63,35.08,1.64,12.91,0.28,Sidi Chennane,Moyenne
19.83,28.5,0.6,6.64,7.0,Sidi Chennane,Faible
29.72,31.1,1.51,11.87,1.11,Sidi Dawui,Moyenne
42.03,40.2,6.44,6.45,0.76,Sidi Dawui,Moyenne
29.45,24.65,1.39,10.37,0.41,Sidi Dawui,Moyenne
14.05,20.0,5.72,8.62,1.18,Sidi Chennane,Faible
39.27,33.09,0.5,13.42,0.28,Sidi Dawui,Haute
30.64,25.52,0.5,4.88,1.12,Sidi Dawui,Moyenne
32.79,38.87,2.82,11.56,3.06,Sidi Dawui,Moyenne
32.63,44.08,0.6,10.26,2.54,Sidi Chennane,Moyenne
32.31,28.63,0.5,12.58,0.64,Sidi Dawui,Moyenne
35.13,43.88,4.85,9.11,0.8,Sidi Dawui,Haute
21.77,24.5,0.5,6.9,1.54,Sidi Dawui,Moyenne
30.5,28.76,3.86,0.74,2.57,Sidi Dawui,Moyenne
26.34,40.55,0.6,12.6,3.41,Sidi Chennane,Moyenne
12.7,20.0,0.66,13.65,3.68,Sidi Chennane,Faible
34.33,30.67,0.5,6.74,0.47,Sidi Dawui,Moyenne
33.42,35.86,0.5,3.33,1.83,Sidi Dawui,Moyenne
32.88,31.24,2.43,9.71,0.33,Sidi Dawui,Moyenne
29.03,42.43,2.77,1.83,0.69,Sidi Chennane,Moyenne
24.61,41.13,0.6,0.61,0.39,Sidi Chennane,Moyenne
45.95,52.39,1.41,4.35,0.4,Sidi Dawui,Haute
23.46,21.47,1.78,10.2,1.21,Sidi Dawui,Moyenne
33.74,36.26,2.3,12.21,0.57,Sidi Dawui,Moyenne
33.27,27.5,8.9,2.35,1.26,Sidi Dawui,Moyenne
15.76,24.35,13.98,14.19,0.38,Sidi Chennane,Faible
41.2,42.14,0.5,8.28,1.47,Sidi Dawui,Haute
50.0,56.78,0.5,13.88,0.71,Sidi Dawui,Haute
32.35,30.87,0.5,2.25,0.79,Sidi Dawui,Moyenne
37.1,48.99,1.31,6.87,0.35,Sidi Dawui,Haute
23.03,28.66,1.06,6.46,2.26,Sidi Chennane,Moyenne
26.01,29.89,0.5,6.18,1.12,Sidi Dawui,Moyenne
11.03,20.0,9.69,13.96,1.54,Sidi Chennane,Faible
26.08,28.1,0.5,12.74,0.36,Sidi Dawui,Moyenne
13.73,21.59,0.6,11.91,1.72,Sidi Chennane,Faible
33.24,48.41,0.6,4.29,1.03,Sidi Chennane,Moyenne
21.77,29.06,0.6,5.09,0.67,Sidi Chennane,Moyenne
20.32,29.99,0.6,3.89,3.01,Sidi Chennane,Moyenne
40.59,42.26,3.69,11.9,1.39,Sidi Dawui,Haute
22.29,28.43,0.5,5.89,1.44,Sidi Dawui,Moyenne
17.67,22.1,4.57,14.68,0.21,Sidi Chennane,Faible
33.12,30.29,0.5,5.46,2.37,Sidi Dawui,Moyenne
41.86,43.7,0.5,2.55,1.43,Sidi Dawui,Haute
37.07,35.61,0.5,13.95,2.69,Sidi Dawui,Haute
24.06,34.22,11.66,11.74,0.62,Sidi Chennane,Moyenne
33.21,38.68,1.97,8.75,0.57,Sidi Dawui,Moyenne
36.14,20.46,0.5,12.88,3.64,Sidi Dawui,Haute
23.77,31.18,0.6,14.24,2.15,Sidi Chennane,Moyenne
23.13,20.0,0.5,12.92,0.32,Sidi Dawui,Moyenne
22.79,26.86,0.6,13.57,1.01,Sidi Chennane,Moyenne
15.74,31.14,10.72,4.07,2.27,Sidi Chennane,Faible
33.24,36.3,0.5,7.66,1.15,Sidi Dawui,Moyenne
28.13,32.24,0.99,11.93,0.64,Sidi Dawui,Moyenne
38.5,54.92,0.6,7.89,0.59,Sidi Chennane,Haute
32.14,35.89,6.36,9.63,1.05,Sidi Dawui,Moyenne
13.65,20.0,4.38,13.84,2.26,Sidi Chennane,Faible
31.28,36.28,0.5,4.43,0.45,Sidi Dawui,Moyenne
37.23,32.53,4.48,8.09,0.18,Sidi Dawui,Haute
33.04,43.83,0.6,8.45,0.72,Sidi Chennane,Moyenne
27.14,29.24,0.5,5.39,1.43,Sidi Dawui,Moyenne
18.1,20.0,0.5,5.52,1.71,Sidi Dawui,Faible
39.93,40.45,0.5,11.54,0.44,Sidi Dawui,Haute
13.8,20.0,4.28,13.94,1.24,Sidi Chennane,Faible
28.53,28.97,2.96,9.51,0.6,Sidi Dawui,Moyenne
30.16,34.61,0.5,7.32,1.8,Sidi Dawui,Moyenne
22.06,29.26,0.6,11.26,0.9,Sidi Chennane,Moyenne
26.84,46.61,0.6,14.97,1.96,Sidi Chennane,Moyenne
18.19,22.75,6.47,1.24,1.06,Sidi Chennane,Faible
20.78,30.04,6.25,9.77,1.49,Sidi Chennane,Moyenne
22.41,40.02,8.84,8.34,0.7,Sidi Chennane,Moyenne
33.86,30.31,0.5,9.15,0.57,Sidi Dawui,Moyenne
33.39,38.8,5.4,0.34,0.8,Sidi Dawui,Moyenne
36.47,47.55,0.5,14.34,1.64,Sidi Dawui,Haute
40.18,41.24,0.5,1.28,7.53,Sidi Dawui,Haute
24.97,33.15,0.6,4.61,2.74,Sidi Chennane,Moyenne
36.63,32.27,0.67,4.47,3.37,Sidi Dawui,Haute
12.53,21.73,4.75,11.0,0.92,Sidi Chennane,Faible
32.96,39.43,0.5,10.06,0.65,Sidi Dawui,Moyenne
36.86,45.08,2.35,0.93,0.17,Sidi Dawui,Haute
27.09,38.94,1.67,2.25,0.62,Sidi Chennane,Moyenne
18.14,30.38,0.6,4.78,0.33,Sidi Chennane,Faible
26.5,26.3,1.61,10.56,1.85,Sidi Dawui,Moyenne
18.88,23.57,0.6,13.94,0.85,Sidi Chennane,Faible
37.38,43.85,0.5,4.73,0.35,Sidi Dawui,Haute
41.91,52.44,3.2,7.88,1.55,Sidi Dawui,Haute
28.79,24.27,0.5,5.59,1.29,Sidi Dawui,Moyenne
28.22,34.24,0.6,8.66,0.4,Sidi Chennane,Moyenne
33.62,33.83,0.5,9.42,3.36,Sidi Dawui,Moyenne
31.37,35.98,0.89,7.77,0.55,Sidi Dawui,Moyenne
30.58,25.24,1.76,5.84,1.61,Sidi Dawui,Moyenne
39.29,40.67,0.66,13.2,0.9,Sidi Dawui,Haute
24.55,32.24,0.83,12.03,3.74,Sidi Chennane,Moyenne
36.84,58.95,0.6,14.98,2.09,Sidi Chennane,Haute
24.74,21.71,0.5,6.19,0.42,Sidi Dawui,Moyenne
37.21,41.63,0.5,0.58,4.29,Sidi Dawui,Haute
19.17,27.01,0.6,9.77,0.36,Sidi Chennane,Faible
24.59,21.04,0.5,11.75,0.43,Sidi Dawui,Moyenne
22.43,32.72,0.6,14.05,3.66,Sidi Chennane,Moyenne
23.37,23.69,0.6,0.16,0.98,Sidi Chennane,Moyenne
50.0,53.98,0.5,13.19,1.28,Sidi Dawui,Haute
30.82,32.42,0.5,7.75,1.4,Sidi Dawui,Moyenne
22.22,20.0,1.46,5.62,0.42,Sidi Dawui,Moyenne
24.22,21.15,4.54,3.33,4.5,Sidi Chennane,Moyenne
10.0,20.0,7.37,12.21,5.79,Sidi Chennane,Faible
21.92,38.13,0.6,5.46,0.22,Sidi Chennane,Moyenne
32.65,32.26,0.5,9.07,0.7,Sidi Dawui,Moyenne
27.51,36.48,0.6,7.68,1.72,Sidi Chennane,Moyenne
28.63,47.37,0.6,3.95,0.91,Sidi Chennane,Moyenne
27.92,26.18,0.5,11.82,0.65,Sidi Dawui,Moyenne
31.13,32.42,5.42,4.47,1.57,Sidi Dawui,Moyenne
25.53,25.63,1.16,11.81,1.7,Sidi Dawui,Moyenne
15.39,20.62,3.76,6.14,3.87,Sidi Chennane,Faible
35.32,36.92,0.5,0.45,0.25,Sidi Dawui,Haute
14.48,23.4,4.89,11.51,0.45,Sidi Chennane,Faible
28.73,27.91,0.5,13.49,0.55,Sidi Dawui,Moyenne
23.44,21.78,3.75,1.8,6.8,Sidi Dawui,Moyenne
25.96,35.53,0.6,8.78,3.35,Sidi Chennane,Moyenne
33.85,31.61,1.47,1.08,1.25,Sidi Chennane,Moyenne
20.66,21.56,3.38,12.45,0.93,Sidi Dawui,Moyenne
15.64,20.0,2.22,14.82,1.42,Sidi Dawui,Faible
31.36,34.4,2.5,7.42,2.56,Sidi Dawui,Moyenne
22.6,32.19,1.73,4.7,0.82,Sidi Chennane,Moyenne
34.49,35.05,1.88,12.69,1.24,Sidi Dawui,Moyenne
19.69,31.5,0.94,7.81,0.76,Sidi Chennane,Faible
21.24,26.3,0.6,6.74,0.33,Sidi Chennane,Moyenne
35.84,37.88,0.5,3.42,0.24,Sidi Dawui,Haute
29.05,43.7,0.6,9.24,0.58,Sidi Chennane,Moyenne
10.18,20.0,9.03,9.09,0.74,Sidi Chennane,Faible
29.14,24.98,4.92,3.94,1.42,Sidi Dawui,Moyenne
23.85,37.6,1.64,3.17,1.24,Sidi Chennane,Moyenne
24.15,26.76,5.68,6.58,0.33,Sidi Dawui,Moyenne
48.25,49.1,0.5,6.76,1.01,Sidi Dawui,Haute
18.5,22.32,0.6,1.93,0.65,Sidi Chennane,Faible
32.12,29.52,2.34,4.14,0.82,Sidi Dawui,Moyenne
26.0,37.21,0.6,2.41,1.07,Sidi Chennane,Moyenne
18.77,29.99,1.78,13.52,2.79,Sidi Chennane,Faible
10.87,20.0,0.6,1.12,0.69,Sidi Chennane,Faible
19.8,26.12,0.6,13.18,3.83,Sidi Chennane,Faible
28.99,39.27,0.6,7.92,0.35,Sidi Chennane,Moyenne
29.43,29.06,3.67,9.98,0.5,Sidi Dawui,Moyenne
24.8,20.0,0.5,13.85,0.93,Sidi Dawui,Moyenne
28.33,39.55,1.42,5.48,0.39,Sidi Chennane,Moyenne
29.49,28.08,0.5,10.54,0.35,Sidi Dawui,Moyenne
19.29,23.41,0.6,10.08,1.06,Sidi Chennane,Faible
33.86,33.25,0.5,14.83,0.35,Sidi Dawui,Moyenne
39.51,36.22,0.5,0.69,0.46,Sidi Dawui,Haute
50.0,58.3,0.5,6.83,0.94,Sidi Dawui,Haute
27.71,34.58,4.55,14.84,3.91,Sidi Chennane,Moyenne
29.81,43.65,4.51,4.92,0.86,Sidi Chennane,Moyenne
27.9,24.43,0.5,14.48,1.11,Sidi Dawui,Moyenne
23.16,21.03,0.5,12.25,0.4,Sidi Dawui,Moyenne
22.89,34.58,0.6,5.09,0.43,Sidi Chennane,Moyenne
23.18,34.68,1.43,0.44,0.16,Sidi Chennane,Moyenne
15.71,21.23,1.6,4.21,0.46,Sidi Chennane,Faible
30.9,29.62,0.5,1.86,1.84,Sidi Dawui,Moyenne
36.13,28.05,0.5,6.43,0.63,Sidi Dawui,Haute
24.77,43.5,4.79,14.09,1.13,Sidi Chennane,Moyenne
25.68,41.01,0.6,7.69,1.2,Sidi Chennane,Moyenne
24.33,38.67,0.6,6.71,1.8,Sidi Chennane,Moyenne
27.89,21.04,0.5,3.24,3.77,Sidi Dawui,Moyenne
27.82,25.27,0.5,9.32,1.63,Sidi Dawui,Moyenne
21.59,20.48,3.35,6.83,0.83,Sidi Dawui,Moyenne
48.74,34.26,0.5,11.59,1.89,Sidi Dawui,Haute
22.58,37.09,3.07,7.74,1.28,Sidi Chennane,Moyenne
21.08,37.27,2.59,13.3,0.17,Sidi Chennane,Moyenne
24.05,31.68,1.22,11.75,0.38,Sidi Dawui,Moyenne
50.0,49.69,0.5,2.18,0.84,Sidi Dawui,Haute
22.73,23.14,0.5,2.04,0.63,Sidi Dawui,Moyenne
28.6,34.42,0.5,0.37,0.91,Sidi Dawui,Moyenne
36.28,34.87,3.19,5.54,0.14,Sidi Dawui,Haute
37.96,34.65,0.5,0.82,1.96,Sidi Dawui,Haute
28.53,29.38,0.6,6.75,0.96,Sidi Chennane,Moyenne
48.95,57.48,0.5,3.62,2.65,Sidi Dawui,Haute
37.11,37.0,0.5,7.47,1.02,Sidi Dawui,Haute
15.85,20.32,3.12,2.37,1.17,Sidi Chennane,Faible
20.88,31.48,8.19,8.24,0.44,Sidi Chennane,Moyenne
35.3,36.13,0.5,14.5,0.38,Sidi Dawui,Haute
35.53,52.65,0.6,9.56,1.11,Sidi Chennane,Haute
19.78,20.0,1.87,8.47,1.0,Sidi Dawui,Faible
43.44,54.29,0.5,11.82,0.27,Sidi Dawui,Haute
34.14,33.44,0.5,0.08,2.12,Sidi Dawui,Moyenne
40.12,50.12,0.5,4.24,1.04,Sidi Dawui,Haute
31.57,34.31,0.5,14.8,0.67,Sidi Dawui,Moyenne
17.19,26.18,4.83,11.74,0.5,Sidi Chennane,Faible
39.33,38.65,0.5,1.35,1.83,Sidi Dawui,Haute
26.62,44.22,0.6,4.9,0.57,Sidi Chennane,Moyenne
28.62,42.06,0.6,6.6,1.21,Sidi Chennane,Moyenne
32.38,27.74,0.5,14.02,0.87,Sidi Dawui,Moyenne
27.04,23.02,0.5,8.79,0.65,Sidi Dawui,Moyenne
18.32,20.0,2.73,1.16,0.35,Sidi Dawui,Faible
27.66,34.38,0.6,7.64,2.83,Sidi Chennane,Moyenne
25.17,36.01,0.6,4.34,0.45,Sidi Chennane,Moyenne
16.42,27.57,2.01,5.08,0.5,Sidi Chennane,Faible
19.11,28.89,0.6,1.71,2.92,Sidi Chennane,Faible
19.56,25.11,0.6,6.88,0.92,Sidi Chennane,Faible
19.0,23.13,0.5,10.04,1.29,Sidi Dawui,Faible
25.06,27.17,1.23,11.39,3.36,Sidi Dawui,Moyenne
22.18,25.66,2.92,10.43,3.29,Sidi Dawui,Moyenne
19.9,20.0,0.6,9.91,0.64,Sidi Chennane,Faible
25.78,27.09,0.5,13.04,2.51,Sidi Dawui,Moyenne
17.69,20.0,2.78,4.99,0.28,Sidi Dawui,Faible
35.24,60.0,0.6,3.22,0.24,Sidi Chennane,Haute
43.9,34.01,0.5,1.34,1.04,Sidi Dawui,Haute
17.59,30.13,10.14,2.49,0.93,Sidi Chennane,Faible
24.22,43.83,0.6,2.24,1.68,Sidi Chennane,Moyenne
36.3,25.03,0.5,13.69,1.54,Sidi Dawui,Haute
30.0,46.53,0.6,2.71,1.74,Sidi Chennane,Moyenne
17.34,27.43,6.31,1.41,3.6,Sidi Chennane,Faible
42.44,40.3,0.5,6.0,4.81,Sidi Dawui,Haute
27.51,25.44,0.5,2.54,2.02,Sidi Dawui,Moyenne
14.08,22.43,0.6,1.96,0.98,Sidi Chennane,Faible
27.06,35.39,0.6,5.44,0.85,Sidi Chennane,Moyenne
44.25,42.77,0.5,13.79,0.99,Sidi Dawui,Haute
50.0,60.0,0.5,0.46,0.63,Sidi Dawui,Haute
21.58,27.41,0.5,3.12,2.09,Sidi Dawui,Moyenne
26.9,42.08,0.6,12.36,2.3,Sidi Chennane,Moyenne
28.77,29.36,5.73,3.68,0.6,Sidi Dawui,Moyenne
39.63,36.48,0.5,6.62,0.88,Sidi Dawui,Haute
13.24,20.0,0.6,1.48,0.24,Sidi Chennane,Faible
21.01,24.6,0.5,11.93,0.93,Sidi Dawui,Moyenne
25.44,24.84,0.5,11.05,1.03,Sidi Dawui,Moyenne
23.0,39.1,0.6,1.92,0.41,Sidi Chennane,Moyenne
26.67,25.31,0.5,14.22,0.66,Sidi Dawui,Moyenne
26.65,34.65,0.6,8.86,0.4,Sidi Chennane,Moyenne
41.84,44.55,0.5,11.97,0.28,Sidi Dawui,Haute
37.96,37.51,0.5,11.46,3.27,Sidi Dawui,Haute
47.23,38.47,0.5,7.79,0.28,Sidi Dawui,Haute
25.12,46.43,2.35,11.21,1.1,Sidi Chennane,Moyenne
14.83,20.0,0.77,3.57,2.18,Sidi Chennane,Faible
44.91,51.32,0.5,0.32,3.12,Sidi Dawui,Haute
18.69,30.49,0.6,5.13,0.43,Sidi Chennane,Faible
40.78,32.88,0.5,2.29,2.78,Sidi Dawui,Haute
46.82,39.6,0.5,14.72,1.14,Sidi Dawui,Haute
25.38,34.96,0.6,13.85,1.58,Sidi Chennane,Moyenne
18.88,20.0,0.5,2.16,4.09,Sidi Dawui,Faible
24.14,30.56,1.1,5.16,1.63,Sidi Dawui,Moyenne
44.54,43.17,0.5,7.64,0.48,Sidi Dawui,Haute
21.43,35.2,0.6,5.98,0.19,Sidi Chennane,Moyenne
33.22,35.85,0.5,10.5,1.67,Sidi Dawui,Moyenne
39.41,41.01,0.5,7.55,1.39,Sidi Dawui,Haute
38.84,39.08,0.92,8.48,0.53,Sidi Dawui,Haute
35.04,41.71,0.5,10.16,1.16,Sidi Dawui,Haute
30.6,26.72,0.5,0.36,0.34,Sidi Dawui,Moyenne
29.65,37.53,0.5,0.19,1.33,Sidi Dawui,Moyenne
27.9,32.32,2.65,2.67,0.34,Sidi Chennane,Moyenne
37.54,42.05,0.5,10.77,2.63,Sidi Dawui,Haute
30.16,23.64,2.15,3.61,5.37,Sidi Dawui,Moyenne
29.32,40.29,1.55,13.8,1.26,Sidi Chennane,Moyenne
31.33,31.78,4.75,1.18,1.36,Sidi Dawui,Moyenne
24.75,22.9,0.5,8.7,1.6,Sidi Dawui,Moyenne
17.72,24.88,0.6,0.38,1.25,Sidi Chennane,Faible
23.59,20.0,4.97,14.58,0.42,Sidi Dawui,Moyenne
30.02,25.46,3.26,3.21,3.1,Sidi Dawui,Moyenne
30.27,47.08,0.6,8.81,1.43,Sidi Chennane,Moyenne
25.17,25.29,0.5,14.3,1.57,Sidi Dawui,Moyenne
34.22,30.58,0.5,0.46,2.24,Sidi Dawui,Moyenne
18.36,31.93,0.6,7.69,2.16,Sidi Chennane,Faible
30.13,24.48,0.5,7.9,2.68,Sidi Dawui,Moyenne
18.76,20.0,2.72,5.27,1.44,Sidi Dawui,Faible
30.49,28.12,0.98,9.82,0.5,Sidi Dawui,Moyenne
30.74,33.65,4.99,8.14,1.4,Sidi Dawui,Moyenne
25.9,37.69,0.6,3.74,0.98,Sidi Chennane,Moyenne
34.53,33.96,0.5,10.58,0.5,Sidi Dawui,Moyenne
21.59,20.0,4.55,6.99,3.19,Sidi Dawui,Moyenne
42.37,48.0,0.5,7.05,0.89,Sidi Dawui,Haute
34.41,33.26,0.5,14.28,1.2,Sidi Dawui,Moyenne
34.31,34.92,0.5,8.03,0.56,Sidi Dawui,Moyenne
32.42,28.68,0.5,11.77,0.96,Sidi Dawui,Moyenne
19.24,23.92,4.03,13.01,2.11,Sidi Chennane,Faible
34.48,42.44,4.64,8.71,5.14,Sidi Dawui,Moyenne
36.83,26.78,0.5,11.8,0.31,Sidi Dawui,Haute
16.6,20.0,3.88,4.64,1.02,Sidi Dawui,Faible
19.11,33.88,0.6,2.73,0.08,Sidi Chennane,Faible
30.18,33.16,0.5,10.43,0.71,Sidi Dawui,Moyenne
34.83,33.09,0.97,13.89,1.1,Sidi Dawui,Moyenne
30.02,51.67,0.6,0.64,1.14,Sidi Chennane,Moyenne
17.64,27.23,0.6,11.45,3.71,Sidi Chennane,Faible
19.36,28.97,0.7,0.43,0.83,Sidi Chennane,Faible
19.27,28.8,4.91,6.88,3.49,Sidi Chennane,Faible
25.21,27.01,0.5,10.16,1.22,Sidi Dawui,Moyenne
29.34,31.62,5.77,6.08,0.66,Sidi Dawui,Moyenne
39.51,52.86,0.5,4.51,1.16,Sidi Dawui,Haute
22.91,22.22,3.27,2.8,1.11,Sidi Dawui,Moyenne
36.39,35.47,0.5,14.67,1.17,Sidi Dawui,Haute
17.01,20.0,8.05,8.55,0.57,Sidi Dawui,Faible
27.39,27.17,3.62,1.92,0.57,Sidi Dawui,Moyenne
29.5,37.96,0.5,0.72,2.48,Sidi Dawui,Moyenne
33.05,54.97,0.6,3.65,2.33,Sidi Chennane,Moyenne
20.77,27.49,0.6,8.08,0.52,Sidi Chennane,Moyenne
10.0,20.0,3.45,11.28,0.9,Sidi Chennane,Faible
14.31,20.0,7.65,14.71,1.36,Sidi Dawui,Faible
32.81,27.92,0.78,12.51,1.92,Sidi Dawui,Moyenne
26.37,38.96,1.03,9.18,1.16,Sidi Chennane,Moyenne
24.87,33.18,4.07,10.0,2.52,Sidi Chennane,Moyenne
34.02,28.56,1.07,7.83,0.94,Sidi Dawui,Moyenne
43.08,46.32,0.5,6.52,3.45,Sidi Dawui,Haute
27.59,27.24,5.82,11.77,7.7,Sidi Dawui,Moyenne
